Carimbo de data/hora,ID,Your current course,Tick below the topics in software engineering that you have knowledge about,"Are you currently working or have you worked as a software developer (or related activity)? If so, how many years of development experience do you have?",How do you classify your level of experience with respect to the following techniques? [Object-Oriented Programming],How do you classify your level of experience with respect to the following techniques? [Analysis of Software Architecture],How do you classify your level of experience with respect to the following techniques? [Collaborative Development with GitHub],Provide further information about your background that you think might be relevant.
16/04/2026 17:28:10,P1,Undergraduate Student,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",Up to 2 years of experience,medium,medium,extensive,
16/04/2026 17:37:50,P2,Isolada,"Bad Smells, Refactoring, Software Architecture",Up to 2 years of experience,medium,medium,medium,"Actually I am matlab and simulink developer.
Creating software to control locomotives."
16/04/2026 17:30:42,P3,MSc Student,"Refactoring, Software Architecture, Web Technologies",From 3 to 5 years of experience,extensive,low,medium,
16/04/2026 17:26:31,P4,Undergraduate Student,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",Up to 2 years of experience,extensive,medium,medium,
16/04/2026 17:53:58,P5,Isolada,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",More than 5 years of experience,extensive,extensive,medium,"Durante minha experiencia como desenvolvedora, ja atuei em múltiplas frentes: frontend, backend, fullstack e mobile (swift). Meu maior background é como fullstack, integrando microsserviços ponta a ponta em variados contextos de negócio."
16/04/2026 17:27:45,P6,Undergraduate Student,"Bad Smells, Refactoring, Software Architecture, Web Technologies",Up to 2 years of experience,medium,low,medium,
16/04/2026 17:53:37,P7,Graduado (Disciplina Isolada),"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",More than 5 years of experience,medium,extensive,extensive,Software Engineer front-end focused
16/04/2026 17:57:53,P8,Undergraduate Student,"Bad Smells, Web Technologies",Up to 2 years of experience,extensive,medium,low,
16/04/2026 17:30:02,P9,Undergraduate Student,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",From 3 to 5 years of experience,extensive,medium,extensive,
16/04/2026 17:29:54,P10,Undergraduate Student,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",From 3 to 5 years of experience,extensive,medium,extensive,
16/04/2026 17:14:54,P11,Undergraduate Student,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",Up to 2 years of experience,medium,low,extensive,
16/04/2026 17:13:31,P12,MSc Student,"Refactoring, Software Architecture, Web Technologies",Up to 2 years of experience,extensive,medium,medium,
16/04/2026 17:52:54,P13,Isolada ,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",More than 5 years of experience,extensive,extensive,extensive,I have been working at Thoughtworks since 2018. Working specifically with software development to big companies around the world as technology leadership.
16/04/2026 17:09:05,P14,Undergraduate Student,"Bad Smells, Refactoring, Web Technologies",Up to 2 years of experience,extensive,low,extensive,
16/04/2026 17:10:16,P15,Disciplina isolada,"Bad Smells, Refactoring, Software Architecture, Microservices Architecture, Web Technologies",From 3 to 5 years of experience,low,low,low,"I have experience working with systems analysis, but not really with software development )(programming)."
16/04/2026 17:19:09,P16,Undergraduate Student,"Refactoring, Software Architecture, Web Technologies",Up to 2 years of experience,medium,low,medium,
